Object_Type,Method,ModelFilter,TestFilter,Accuracy,MeanIoU
004_sugar_box,SIFT-FLANN,,,0.9,0.671773
004_sugar_box,SIFT-FLANN-Bilateral-CLAHE-Unsharp-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,0.7,0.587006
004_sugar_box,ViolaJones,GaussianBlur,GaussianBlur,0,0.0406089
